BDRC Control,BDRC RID,BDRC IG,Record Number,Title,Author,Topic,Topic RID,Collection,Language,Script,Material,"Support (Manuscript, Pecha, book, etc.)",Creation Date (if known),Creation Date in Common Era,"Dimensions 1 (i.e. Length, etc. in cm)","Dimensions 2 (i.e. Height, etc. in cm)",Number of folios,Lines per leaf/folio,rKTs number (if applicable),Notes,Publisher,Publication Date,Publisher Location,Series,Volume
W1NPL193-I1NPL193,W1NPL193,I1NPL193,0008,Pañcamahārakṣā sūtra,,Sūtra,T769,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,24.2 cms,7.6 cms,180,6,N/A,,,,,,
W1NPL172-I1NPL172,W1NPL172,I1NPL172,0009,Pākāvali āyūrveda,,Āyūrveda,T2KG207415,Sagar Byanjankar,Sanskrit,Devanagari,Thyāsaphū,Manuscript,,,25 cms,11 cms,3,7,N/A,,,,,,
W1NPL30-I1NPL30,W1NPL30,I1NPL30,0030,Nāmasaṅgīti,,Stotra and Tantra,T67 & T2129,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,17cms,6cms,22,7,K360,,,,,,
W1NPL173-I1NPL173,W1NPL173,I1NPL173,0031,myeṁ saṁgraha,,Kāvya,T204,Sagar Byanjankar,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,22 cms,9.5 cms,11,"6,7",N/A,,,,,,
W1NPL118-I1NPL118,W1NPL118,I1NPL118,0032,Mīnatīrtha,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Devanagari,Bound Mss.,Manuscript,BS 2020,1963 CE,13 cms,20 cms,,14,N/A,,,,,,
W1NPL17-I1NPL17,W1NPL17,I1NPL17,0017,Markāṇḍa purāṇa,,Purāṇa (Hindu),T2KG207410 & T1KG89007,Yagya Ratna Shaka,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,23 cms,11cms,55,6,N/A,,,,,,
W1NPL4-I1NPL4,W1NPL4,I1NPL4,0004,Maṇiśaila mahātmya,,Avadāna,T1779,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,NS 1101,1980 CE,24.5 cms,7.9 cms,34,6,N/A,,,,,,
W1NPL154-I1NPL154,W1NPL154,I1NPL154,0005,Mahādāna vākya,,Liturgy,T977,Kiran Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,22 cms,7.5 cms,5,5,N/A,,,,,,
W1NPL166-I1NPL166,W1NPL166,I1NPL166,0006,Lalitavistare sugatajanmaratnāvadānamālā,,Avadāna,T1779,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,NS 979,1858 CE,37.6 cms,9.3 cms,374,"6,7,8",N/A,,,,,,
W1NPL168-I1NPL168,W1NPL168,I1NPL168,0007,Lakṣacaitya vratavidhi pūjāpaddhati,,Vratavidhi,T977,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,20.5 cms,9.5 cms,14,7,N/A,,,,,,
W1NPL136-I1NPL136,W1NPL136,I1NPL136,0008,Kathā stotra vibhavatyaryā,,Stotra,T67,Yagya Ratna Shakya,Sanskrit,Devanagari,Thyāsaphū,Manuscript,,,26.5 cms,12 cms,8,8,N/A,,,,,,
W1NPL44-I1NPL44,W1NPL44,I1NPL44,0044,Kāraṇḍavyūha sūtra,,Sūtra,T769,Shantasri Ratna Bajracharya,Sanskrit,Pracalita,Yellow Paper,Manuscript,NS 820,1699 CE,25cms,6cms,197,7,K116,,,,,,
W1NPL124-I1NPL124,W1NPL124,I1NPL124,0045,Kalaśapūjāvidhi,,Pūjāvidhi,T977,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Bound Mss.,Manuscript,,,21 cms,12.5 cms,10,10,N/A,,,,,,
W1NPL91-I1NPL91,W1NPL91,I1NPL91,0091,Kakāśadikṣarātavargadhyānaṁjakṣmīhṛdayastotrapustakam,,Stotra,T67,Yagya Ratna Shakya,Sanskrit,Devanagari,Thyāsaphū,Manuscript,NS 948,1827 CE,17cms,4cms,12,7,N/A,,,,,,
W1NPL169-I1NPL169,W1NPL169,I1NPL169,0092,Jyotiṣa vijñāna,,Astrology,T1834,Sagar Byanjankar,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,21 cms,7 cms,18,7,N/A,,,,,,
W1NPL75-I1NPL75,W1NPL75,I1NPL75,0075,Jyotiṣa pātro,,Jyotiṣa,T1834,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,14cms,7cms,21,9,N/A,,,,,,
W1NPL196-I1NPL196,W1NPL196,I1NPL196,0076,Jyotiṣa paddhati,,Astrology,T1834,Yagya Ratna Shakya,Sanskrit,Devanagari,Thyāsaphū,Manuscript,,,18.1 cms,9.8 cms,21,"10,11",N/A,,,,,,
W1NPL16-I1NPL16,W1NPL16,I1NPL16,0016,Jātakamālā,,Jātaka,T1342,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,30 cms,7cms,25,6,T3488,,,,,,
W1NPL24-I1NPL24,W1NPL24,I1NPL24,0024,Jātaka,,Jātaka,T1342,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,20cms,8cms,40,6,K32,,,,,,
W1NPL167-I1NPL167,W1NPL167,I1NPL167,0025,Jagata guruyā saphū,,Pūjāvidhi,T977,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,20.2 cms,7.9 cms,6,6,N/A,,,,,,
W1NPL21-I1NPL21,W1NPL21,I1NPL21,0021,Hiraṇyapanyāvadhāna,,Avadāna,T1779,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,24cms,10 cms,14,8,N/A,,,,,,
W1NPL76-I1NPL76,W1NPL76,I1NPL76,0076,Guṭhī thyāsaphū,,,,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,14cms,8cms,12,9,N/A,,,,,,
W1NPL189-I1NPL189,W1NPL189,I1NPL189,0077,Guthi dhalaḥ (buṁgadyaḥ),,Record,T8LS41949,Kiran Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,NS 745,1624 CE,13 cms,5.5 cms,17,"4,5",N/A,,,,,,
W1NPL68-I1NPL68,W1NPL68,I1NPL68,0068,Gurupūjā (Gaṇacakra Pūjāvidhi),,Pūjāvidhi,T977,Rūpaskandha Bajracharya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,25.5 cms,11 cms,49,7,N/A,,,,,,
W1NPL67-I1NPL67,W1NPL67,I1NPL67,0067,Guṇakāraṇḍavyūha Mahāyāna Sūtra,,Sūtra,T769,Rūpaskandha Bajracharya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,15.4 cms,8.10 cms,24,7,N/A,,,,,,
W1NPL92-I1NPL92,W1NPL92,I1NPL92,0092,Gokarṇeśvara vītarāga utpanna mahākathā,,Kathā,T216,Yagya Ratna Shakya,Sanskrit,Devanagari,Thyāsaphū,Manuscript,NS 948,1827 CE,16cms,7cms,17,9,N/A,,,,,,
W1NPL7-I1NPL7,W1NPL7,I1NPL7,0007,Ekaravīra (caṇḍamahāroṣaṇa) tantra,,Tantra,T2129,Yagya Ratna Shakya,Nepal Bhasa,Devanagari,Yellow Paper,Manuscript,,,24.5 cms,8 cms,149,5,K431,,,,,,
W1NPL126-I1NPL126,W1NPL126,I1NPL126,0008,Divyāvadānoddhṛta vratamālā,,Kathā,T216,Kiran Shakya,Nepal Bhasa,Pracalita,Yellow Paper,Manuscript,NS 958,1837 CE,40 cms,14 cms,166,7,N/A,,,,,,
W1NPL147-I1NPL147,W1NPL147,I1NPL147,0009,Digu kalaśa pūjā,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit/Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,24.3 cms,11.5 cms,6,6,N/A,,,,,,
W1NPL130-I1NPL130,W1NPL130,I1NPL130,0010,Dharmalakṣmī,,Kathā,T216,Kiran Shakya,Nepal Bhasa,Devanagari,Thyāsaphū,Manuscript,NS 1058,1937 CE,23 cms,11.5 cms,34,7,N/A,,,,,,
W1NPL131-I1NPL131,W1NPL131,I1NPL131,0011,Dharmalakṣmī,,Kathā,T216,Kiran Shakya,Nepal Bhasa,Devanagari,Thyāsaphū,Manuscript,NS 1066,1945 CE,23 cms,10.5 cms,30,7,N/A,,,,,,
W1NPL109-I1NPL109,W1NPL109,I1NPL109,0012,Dhāraṇī saṁgrahavata dharma kośa saṁgraha,,Dhāraṇī,T933,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,32 cms,16 cms,46,14,N/A,,,,,,
